"Current_year_Rank","Game","Total_Earnings","Total_Players","Total_Tournaments","Year"
23,"chess24","$1,184,696.09","61 Players","10 Tournaments",2020
24,"Clash of Clans","$1,177,609.00","136 Players","14 Tournaments",2020
25,"Lichess","$1,140,686.93","286 Players","64 Tournaments",2020
26,"Clash Royale","$1,104,600.00","82 Players","9 Tournaments",2020
27,"Mobile Legends: Bang Bang","$1,073,666.68","339 Players","13 Tournaments",2020
28,"CrossFire Mobile","$943,044.55","91 Players","6 Tournaments",2020
29,"Chess.com","$810,281.92","441 Players","91 Tournaments",2020
30,"F1 2020","$751,947.00","39 Players","2 Tournaments",2020
31,"iRacing.com","$684,078.65","453 Players","37 Tournaments",2020
32,"Identity V","$679,718.32","116 Players","5 Tournaments",2020
33,"Brawlhalla","$595,811.60","288 Players","110 Tournaments",2020
34,"WarCraft III: Reforged","$593,670.12","123 Players","129 Tournaments",2020
35,"World of WarCraft","$580,200.00","58 Players","12 Tournaments",2020
36,"FIFA Online 4","$574,402.60","131 Players","15 Tournaments",2020
37,"Teamfight Tactics","$480,791.50","54 Players","10 Tournaments",2020
38,"Hearthstone Battlegrounds","$479,786.94","78 Players","8 Tournaments",2020
39,"Minecraft","$427,700.00","116 Players","17 Tournaments",2020
40,"Quake Champions","$414,899.03","42 Players","10 Tournaments",2020
41,"Paladins","$393,630.97","149 Players","18 Tournaments",2020
42,"Age of Empires II","$383,378.29","387 Players","226 Tournaments",2020
43,"Super Smash Bros. Ultimate","$310,108.36","600 Players","282 Tournaments",2020
44,"Hyper Scape","$299,000.00","260 Players","4 Tournaments",2020
45,"StarCraft: Remastered","$287,037.30","134 Players","83 Tournaments",2020
46,"Fall Guys","$284,273.83","240 Players","5 Tournaments",2020
47,"Call of Duty: Black Ops Cold War","$256,000.00","120 Players","15 Tournaments",2020
48,"Aim Gods","$250,000.00","2 Players","1 Tournament",2020
49,"Magic: The Gathering Online","$250,000.00","12 Players","1 Tournament",2020
50,"NBA 2K20","$250,000.00","1 Player","1 Tournament",2020
51,"Assetto Corsa","$235,634.41","120 Players","31 Tournaments",2020
52,"FIFA 21","$225,947.98","88 Players","6 Tournaments",2020
53,"Madden NFL 20","$220,000.00","16 Players","1 Tournament",2020
54,"NASCAR Heat 4","$200,500.00","34 Players","5 Tournaments",2020
55,"SMITE","$200,000.00","26 Players","2 Tournaments",2020
56,"Forza Motorsport 7","$199,000.00","64 Players","3 Tournaments",2020
57,"Mortal Kombat 11","$192,347.79","84 Players","10 Tournaments",2020
58,"Farming Simulator 19","$189,253.45","66 Players","6 Tournaments",2020
59,"Tekken 7","$188,774.78","101 Players","54 Tournaments",2020
60,"Gwent","$186,720.00","22 Players","5 Tournaments",2020
61,"rFactor 2","$184,440.95","106 Players","27 Tournaments",2020
62,"Super Smash Bros. Melee","$177,853.24","114 Players","29 Tournaments",2020
63,"Street Fighter V: Champion Edition","$173,410.22","52 Players","48 Tournaments",2020
64,"Legends of Runeterra","$147,491.03","104 Players","20 Tournaments",2020
65,"eFootball","$147,000.00","22 Players","3 Tournaments",2020
66,"Summoners War: Sky Arena","$140,000.00","4 Players","1 Tournament",2020
67,"Escape from Tarkov","$114,600.00","150 Players","4 Tournaments",2020
68,"Call of Duty: Mobile","$113,678.00","52 Players","3 Tournaments",2020
69,"Granblue Fantasy: Versus","$106,280.94","45 Players","43 Tournaments",2020
70,"Diabotical","$103,859.92","239 Players","78 Tournaments",2020
71,"Rocket Arena","$100,000.00","24 Players","3 Tournaments",2020
72,"Dragon Ball FighterZ","$94,391.99","77 Players","39 Tournaments",2020
73,"RaceRoom Racing Experience","$87,510.00","42 Players","10 Tournaments",2020
74,"WarCraft III","$75,295.80","20 Players","9 Tournaments",2020
75,"Auto Chess","$74,998.00","47 Players","3 Tournaments",2020
76,"Among Us","$66,000.00","10 Players","6 Tournaments",2020
77,"Age of Empires","$61,824.58","93 Players","22 Tournaments",2020
78,"Trackmania (2020)","$59,918.61","99 Players","59 Tournaments",2020
79,"Multigaming","$59,109.70","8 Players","1 Tournament",2020
80,"Halo: Reach","$50,000.00","32 Players","1 Tournament",2020
81,"Rogue Company","$50,000.00","48 Players","2 Tournaments",2020
82,"Spellbreak","$50,000.00","42 Players","1 Tournament",2020
83,"TEPPEN","$48,000.00","8 Players","1 Tournament",2020
84,"Dead By Daylight","$45,000.00","30 Players","6 Tournaments",2020
85,"Pokémon VGC","$44,602.00","57 Players","4 Tournaments",2020
86,"TrackMania 2: Stadium","$40,181.69","198 Players","87 Tournaments",2020
87,"F1 2019","$38,047.38","3 Players","1 Tournament",2020
88,"Zwift","$33,827.08","6 Players","2 Tournaments",2020
89,"Point Blank","$33,652.77","38 Players","3 Tournaments",2020
90,"Playchess.com","$32,866.58","116 Players","9 Tournaments",2020
91,"World of Tanks","$31,765.15","73 Players","3 Tournaments",2020
92,"Call of Duty: Black Ops 4","$30,000.00","14 Players","2 Tournaments",2020
93,"Soul Calibur VI","$27,582.77","41 Players","26 Tournaments",2020
94,"Heroes of the Storm","$24,988.69","51 Players","7 Tournaments",2020
95,"Shadowverse","$23,700.00","42 Players","6 Tournaments",2020
96,"Rivals of Aether","$20,833.62","27 Players","8 Tournaments",2020
97,"Ultimate Marvel vs. Capcom 3","$20,297.93","18 Players","6 Tournaments",2020
98,"Street Fighter V: Arcade Edition","$20,286.12","19 Players","3 Tournaments",2020
99,"UNO","$20,000.00","16 Players","2 Tournaments",2020
100,"osu!","$15,340.85","122 Players","15 Tournaments",2020
101,"BlazBlue: Cross Tag Battle","$14,026.79","34 Players","6 Tournaments",2020
102,"Gran Turismo Sport","$13,831.00","61 Players","4 Tournaments",2020
103,"Samurai Shodown (2019)","$13,223.40","23 Players","5 Tournaments",2020
104,"Prophecy","$13,000.00","27 Players","4 Tournaments",2020
105,"Call of Duty: Black Ops 2","$12,000.00","4 Players","1 Tournament",2020
106,"Team Fortress 2","$11,403.92","166 Players","7 Tournaments",2020
107,"FIFA 19","$11,324.00","2 Players","2 Tournaments",2020
108,"Tetris","$10,926.38","23 Players","4 Tournaments",2020
109,"Age of Empires III","$10,603.00","61 Players","17 Tournaments",2020
110,"Dirt Rally 2.0","$10,000.00","5 Players","2 Tournaments",2020
111,"Internet Chess Club","$10,000.00","6 Players","1 Tournament",2020
112,"Old School Runescape","$9,004.20","14 Players","2 Tournaments",2020
113,"CrossFire HD","$8,882.40","15 Players","1 Tournament",2020
114,"Pistol Whip","$7,500.00","13 Players","1 Tournament",2020
115,"Guilty Gear Xrd REV 2","$7,134.00","19 Players","6 Tournaments",2020
116,"Onward","$6,100.00","20 Players","2 Tournaments",2020
117,"Under Night In-Birth EXE: Late[st]","$6,036.89","21 Players","4 Tournaments",2020
118,"Pokémon GO","$5,890.00","18 Players","4 Tournaments",2020
119,"Age of Mythology","$5,766.69","33 Players","38 Tournaments",2020
120,"Assetto Corsa Competizione","$5,338.00","10 Players","13 Tournaments",2020
121,"Tower Tag","$5,170.41","25 Players","5 Tournaments",2020
122,"GOLF Plus","$5,000.00","4 Players","1 Tournament",2020
123,"Tetr.io","$4,502.61","20 Players","12 Tournaments",2020
124,"QuakeWorld","$4,168.00","6 Players","1 Tournament",2020
125,"Beat Saber","$4,006.57","24 Players","3 Tournaments",2020
126,"Fantasy Strike","$3,860.00","18 Players","3 Tournaments",2020
127,"Melty Blood: Actress Again Current Code","$3,784.93","34 Players","10 Tournaments",2020
128,"Unreal Tournament (2016)","$3,698.92","65 Players","3 Tournaments",2020
129,"Guilty Gear XX Accent Core Plus R","$3,576.91","18 Players","5 Tournaments",2020
130,"Dota Underlords","$3,388.50","12 Players","7 Tournaments",2020
131,"Xonotic","$3,340.39","29 Players","13 Tournaments",2020
132,"BlazBlue: Central Fiction","$3,296.84","11 Players","6 Tournaments",2020
133,"Pokkén Tournament DX","$2,936.43","9 Players","4 Tournaments",2020
134,"Lethal League Blaze","$2,910.02","16 Players","4 Tournaments",2020
135,"Live for Speed","$2,614.00","8 Players","2 Tournaments",2020
136,"Call of Duty: Modern Warfare 2","$2,500.00","4 Players","1 Tournament",2020
137,"Nascar Heat 5","$2,500.00","10 Players","1 Tournament",2020
138,"Zula","$2,500.00","15 Players","1 Tournament",2020
139,"Doom II: Hell on Earth","$2,480.00","7 Players","3 Tournaments",2020
140,"ARMS","$2,147.30","26 Players","13 Tournaments",2020
141,"Skullgirls 2nd Encore","$1,984.50","14 Players","3 Tournaments",2020
142,"Mystery Game Tournament","$1,920.00","8 Players","1 Tournament",2020
143,"Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe","$1,819.61","17 Players","4 Tournaments",2020
144,"Puyo Puyo Tetris","$1,805.09","12 Players","9 Tournaments",2020
145,"Echo Arena","$1,700.00","18 Players","5 Tournaments",2020
146,"Vampire Savior","$1,667.21","9 Players","4 Tournaments",2020
147,"Super Smash Bros.","$1,547.18","23 Players","6 Tournaments",2020
148,"Eternal Fighter Zero","$1,311.60","7 Players","2 Tournaments",2020
149,"Mario Kart 8 Deluxe","$1,305.00","24 Players","2 Tournaments",2020
150,"King of Fighters XIV","$1,270.00","8 Players","3 Tournaments",2020
151,"Splatoon 2","$1,270.00","13 Players","1 Tournament",2020
152,"Age of Empires Online","$1,246.56","9 Players","3 Tournaments",2020
153,"Artifact Classic","$1,229.85","29 Players","20 Tournaments",2020
154,"Under Night In-Birth EXE: Late[cl-r]","$1,108.00","10 Players","3 Tournaments",2020
155,"Synth Riders","$1,100.00","7 Players","5 Tournaments",2020
156,"Windjammers","$1,040.00","13 Players","3 Tournaments",2020
157,"Street Fighter III: 3rd Strike","$980.00","11 Players","2 Tournaments",2020
158,"Tatsunoko vs. Capcom: Ultimate All-Stars","$914.66","5 Players","7 Tournaments",2020
159,"Rushdown Revolt","$850.00","9 Players","4 Tournaments",2020
160,"Star Wars: Squadrons","$800.00","4 Players","1 Tournament",2020
161,"Artifact Foundry","$774.50","21 Players","8 Tournaments",2020
162,"Super Smash Bros. Brawl","$770.00","11 Players","3 Tournaments",2020
163,"Power Rangers: Battle for the Grid","$640.00","8 Players","3 Tournaments",2020
164,"Super Street Fighter II Turbo","$590.00","6 Players","2 Tournaments",2020
165,"Fight of Animals","$580.68","7 Players","3 Tournaments",2020
166,"Marvel vs. Capcom: Infinite","$544.60","4 Players","2 Tournaments",2020
167,"NBA 2K21","$501.00","3 Players","1 Tournament",2020
168,"SLAYERS FOR HIRE","$500.00","8 Players","1 Tournament",2020
169,"Super Smash Bros. for Wii U","$490.00","3 Players","1 Tournament",2020
170,"King of Fighters XIII","$480.00","3 Players","1 Tournament",2020
171,"Beat Aim","$430.00","12 Players","6 Tournaments",2020
172,"Puyo Puyo Champions","$410.50","5 Players","2 Tournaments",2020
173,"Dead or Alive 6","$410.00","6 Players","2 Tournaments",2020
174,"Them's Fightin' Herds","$390.00","8 Players","3 Tournaments",2020
175,"King of Fighters 2002 Unlimited Match","$380.00","3 Players","1 Tournament",2020
176,"Garou: Mark of the Wolves","$325.00","6 Players","2 Tournaments",2020
177,"Sailor Moon S","$320.00","6 Players","2 Tournaments",2020
178,"Dengeki Bunko: Fighting Climax Ignition","$305.50","9 Players","3 Tournaments",2020
179,"Punch Planet","$300.00","3 Players","1 Tournament",2020
180,"Slap City","$300.00","3 Players","1 Tournament",2020
181,"Space Junkies","$300.00","4 Players","1 Tournament",2020
182,"Smash Remix","$299.06","4 Players","1 Tournament",2020
183,"JoJo's Bizarre Adventure: Heritage for the Future","$284.99","5 Players","2 Tournaments",2020
184,"Audio Trip","$250.00","1 Player","1 Tournament",2020
185,"Duck Game","$250.00","3 Players","1 Tournament",2020
186,"Capcom vs. SNK 2","$240.00","3 Players","1 Tournament",2020
187,"Samurai Shodown V Special","$230.46","5 Players","2 Tournaments",2020
188,"Jstris","$225.00","8 Players","1 Tournament",2020
189,"Kirby Fighters 2","$222.86","4 Players","1 Tournament",2020
190,"Kill la Kill the Game: IF","$220.00","6 Players","2 Tournaments",2020
191,"Maiden & Spell","$200.00","3 Players","1 Tournament",2020
192,"Naruto: Gekitou Ninja Taisen! 4","$200.00","3 Players","1 Tournament",2020
193,"ShootMania Storm","$193.05","15 Players","2 Tournaments",2020
194,"Cultris II","$190.95","3 Players","1 Tournament",2020
195,"Warparty","$175.00","4 Players","1 Tournament",2020
196,"Def Jam: Fight for NY","$170.00","3 Players","1 Tournament",2020
197,"Magical Drop III","$130.00","3 Players","1 Tournament",2020
198,"Trackmania Turbo","$112.50","3 Players","1 Tournament",2020
199,"Acceleration of SUGURI 2","$100.00","3 Players","1 Tournament",2020
200,"Schwarzerblitz","$100.00","3 Players","1 Tournament",2020
201,"Twinkle Star Sprites","$100.00","3 Players","1 Tournament",2020
202,"Catherine","$75.00","3 Players","1 Tournament",2020
203,"Digimon Rumble Arena","$70.00","3 Players","1 Tournament",2020
204,"Pocket Rumble","$60.00","3 Players","1 Tournament",2020
205,"TrackMania Nations Forever","$56.30","3 Players","1 Tournament",2020
206,"Arcana Heart 3: Love Max Six Stars!!!!!","$50.00","3 Players","1 Tournament",2020
207,"HYPERFIGHT","$50.00","3 Players","1 Tournament",2020
208,"Killer Instinct (2013)","$50.00","3 Players","1 Tournament",2020
209,"Koihime Enbu","$50.00","3 Players","1 Tournament",2020
210,"Power Instinct: Matrimelee","$50.00","3 Players","1 Tournament",2020
211,"Roof Rage","$50.00","3 Players","1 Tournament",2020
212,"Shrek SuperSlam","$50.00","3 Players","1 Tournament",2020
213,"Speedrunners","$50.00","3 Players","1 Tournament",2020
214,"Umineko: Golden Fantasia","$50.00","3 Players","1 Tournament",2020
215,"Panel Attack","$40.00","3 Players","1 Tournament",2020
216,"Ultra Street Fighter IV","$40.00","6 Players","2 Tournaments",2020
217,"Samurai Shodown III","$30.00","3 Players","1 Tournament",2020
218,"Akatsuki Blitzkampf","$20.00","3 Players","1 Tournament",2020
219,"Project Plus","$20.00","3 Players","1 Tournament",2020
220,"The Last Blade 2","$20.00","3 Players","1 Tournament",2020
221,"Breakers Revenge","$16.00","3 Players","1 Tournament",2020
222,"Asuka 120% LimitOver BURNING Fest.","$10.00","3 Players","1 Tournament",2020
223,"Fighting EX Layer","$10.00","3 Players","1 Tournament",2020
224,"Mario Tennis Aces","$10.00","3 Players","1 Tournament",2020
225,"Marvel vs. Capcom 2","$10.00","3 Players","1 Tournament",2020
226,"Million Arthur: Arcana Blood","$10.00","3 Players","1 Tournament",2020
1,"Dota 2","$47,964,064.37","1075 Players","100 Tournaments",2021
2,"Fortnite","$23,032,953.30","1431 Players","214 Tournaments",2021
3,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$21,904,037.55","1821 Players","87 Tournaments",2021
4,"Counter-Strike: Global Offensive","$21,859,853.46","3484 Players","569 Tournaments",2021
5,"Arena of Valor","$17,929,981.25","514 Players","20 Tournaments",2021
6,"PLAYERUNKNOWN’S BATTLEGROUNDS","$16,291,259.60","938 Players","81 Tournaments",2021
7,"Rainbow Six Siege","$9,257,505.05","1025 Players","101 Tournaments",2021
8,"League of Legends","$8,421,299.16","1676 Players","110 Tournaments",2021
9,"VALORANT","$7,108,864.35","2838 Players","397 Tournaments",2021
10,"Call of Duty: Black Ops Cold War","$6,293,000.00","247 Players","77 Tournaments",2021
11,"Call of Duty: Warzone","$6,156,202.01","808 Players","189 Tournaments",2021
12,"Overwatch","$6,059,256.00","633 Players","43 Tournaments",2021
13,"Rocket League","$5,759,644.84","1740 Players","862 Tournaments",2021
14,"Apex Legends","$5,141,786.35","865 Players","225 Tournaments",2021
15,"Free Fire","$5,009,058.94","684 Players","24 Tournaments",2021
16,"FIFA 21","$4,507,311.13","395 Players","55 Tournaments",2021
17,"Call of Duty: Mobile","$3,060,280.00","234 Players","7 Tournaments",2021
18,"Hearthstone","$3,052,468.11","535 Players","72 Tournaments",2021
19,"Mobile Legends: Bang Bang","$2,517,241.22","643 Players","28 Tournaments",2021
20,"League of Legends: Wild Rift","$2,481,372.35","1001 Players","58 Tournaments",2021
21,"Shadowverse","$2,293,296.20","8 Players","1 Tournament",2021
22,"CrossFire","$2,117,900.50","118 Players","5 Tournaments",2021
23,"Brawl Stars","$2,038,000.00","371 Players","64 Tournaments",2021
24,"Magic: The Gathering Arena","$2,000,000.00","38 Players","4 Tournaments",2021
25,"StarCraft II","$1,814,731.64","264 Players","437 Tournaments",2021
26,"Clash Royale","$1,658,821.64","150 Players","13 Tournaments",2021
27,"chess24","$1,520,929.34","44 Players","9 Tournaments",2021
28,"Teamfight Tactics","$1,348,627.47","200 Players","23 Tournaments",2021
29,"NBA 2K21","$1,330,000.00","61 Players","2 Tournaments",2021
30,"Madden NFL 21","$1,280,000.00","66 Players","6 Tournaments",2021
31,"Identity V","$1,196,560.89","156 Players","6 Tournaments",2021
32,"Chess.com","$1,029,475.39","356 Players","121 Tournaments",2021
33,"CrossFire Mobile","$988,728.00","77 Players","6 Tournaments",2021
34,"World of WarCraft","$930,000.00","72 Players","18 Tournaments",2021
35,"iRacing.com","$905,074.00","466 Players","44 Tournaments",2021
36,"FIFA Online 4","$812,685.96","182 Players","15 Tournaments",2021
37,"SMITE","$809,998.00","56 Players","5 Tournaments",2021
38,"CrossFire HD","$800,649.00","71 Players","1 Tournament",2021
39,"Clash of Clans","$793,965.00","112 Players","13 Tournaments",2021
40,"F1 2021","$750,000.00","22 Players","1 Tournament",2021
41,"Brawlhalla","$685,307.00","333 Players","93 Tournaments",2021
42,"WarCraft III: Reforged","$655,426.20","95 Players","147 Tournaments",2021
43,"Call of Duty: Vanguard","$642,500.00","162 Players","24 Tournaments",2021
44,"Age of Empires II","$636,866.50","691 Players","374 Tournaments",2021
45,"Minecraft","$561,289.00","320 Players","21 Tournaments",2021
46,"Super Smash Bros. Ultimate","$546,343.67","586 Players","250 Tournaments",2021
47,"Street Fighter V: Champion Edition","$501,019.15","156 Players","58 Tournaments",2021
48,"Halo Infinite","$451,000.00","165 Players","11 Tournaments",2021
49,"Madden NFL 22","$400,000.00","27 Players","2 Tournaments",2021
50,"Gwent","$394,165.00","30 Players","6 Tournaments",2021
51,"Quake Champions","$384,020.07","63 Players","17 Tournaments",2021
52,"Gears 5","$365,420.00","59 Players","34 Tournaments",2021
53,"Legends of Runeterra","$364,600.00","178 Players","11 Tournaments",2021
54,"StarCraft: Remastered","$337,468.54","151 Players","73 Tournaments",2021
55,"Super Smash Bros. Melee","$318,736.71","130 Players","17 Tournaments",2021
56,"Farming Simulator 19","$276,447.33","69 Players","10 Tournaments",2021
57,"Assetto Corsa","$274,036.44","139 Players","47 Tournaments",2021
58,"Assetto Corsa Competizione","$262,975.10","244 Players","21 Tournaments",2021
59,"Tekken 7","$261,885.66","143 Players","46 Tournaments",2021
60,"eFootball","$240,000.00","24 Players","6 Tournaments",2021
61,"rFactor 2","$233,012.82","149 Players","25 Tournaments",2021
62,"FIFA 22","$229,185.96","93 Players","15 Tournaments",2021
63,"Hearthstone Battlegrounds","$161,472.38","77 Players","9 Tournaments",2021
64,"Halo 3","$150,000.00","32 Players","1 Tournament",2021
65,"Guilty Gear -STRIVE-","$147,705.62","140 Players","41 Tournaments",2021
66,"Summoners War: Sky Arena","$140,000.00","4 Players","1 Tournament",2021
67,"Halo 2","$137,400.00","16 Players","3 Tournaments",2021
68,"Trackmania (2020)","$114,326.57","236 Players","170 Tournaments",2021
69,"Heroes of the Storm","$110,294.00","73 Players","6 Tournaments",2021
70,"Multigaming","$96,473.00","18 Players","2 Tournaments",2021
71,"Diabotical","$88,873.77","224 Players","136 Tournaments",2021
72,"Age of Empires IV","$84,388.20","197 Players","61 Tournaments",2021
73,"Naraka: Bladepoint","$80,000.00","31 Players","2 Tournaments",2021
74,"Mortal Kombat 11","$75,912.63","50 Players","9 Tournaments",2021
75,"Point Blank","$74,470.41","59 Players","9 Tournaments",2021
76,"TEPPEN","$64,956.93","14 Players","8 Tournaments",2021
77,"RaceRoom Racing Experience","$62,997.50","30 Players","3 Tournaments",2021
78,"Granblue Fantasy: Versus","$54,362.38","36 Players","29 Tournaments",2021
79,"Soul Calibur VI","$51,503.10","15 Players","4 Tournaments",2021
80,"Fall Guys","$50,000.00","36 Players","1 Tournament",2021
81,"osu!","$47,365.06","223 Players","44 Tournaments",2021
82,"Age of Empires","$47,297.70","113 Players","25 Tournaments",2021
83,"Stardew Valley","$43,600.00","16 Players","1 Tournament",2021
84,"Street Fighter V","$42,500.00","56 Players","7 Tournaments",2021
85,"Lichess","$39,750.00","66 Players","37 Tournaments",2021
86,"World of Tanks","$38,376.03","90 Players","6 Tournaments",2021
87,"Halo 5: Guardians","$34,000.00","32 Players","2 Tournaments",2021
88,"Skullgirls 2nd Encore","$33,307.52","38 Players","8 Tournaments",2021
89,"Rocket League Sideswipe","$27,500.00","14 Players","2 Tournaments",2021
90,"Overwatch 2","$24,000.00","51 Players","3 Tournaments",2021
91,"Gran Turismo Sport","$23,511.56","54 Players","17 Tournaments",2021
92,"Forza Motorsport 7","$22,500.00","20 Players","1 Tournament",2021
93,"Age of Empires III","$20,119.80","60 Players","30 Tournaments",2021
94,"Among Us","$20,000.00","7 Players","2 Tournaments",2021
95,"Dirt Rally 2.0","$20,000.00","6 Players","2 Tournaments",2021
96,"Pokémon VGC","$19,750.00","15 Players","1 Tournament",2021
97,"Golf With Your Friends","$19,400.00","11 Players","2 Tournaments",2021
98,"Microsoft Excel","$19,000.00","33 Players","13 Tournaments",2021
99,"Tetris","$17,783.81","44 Players","24 Tournaments",2021
100,"After-H","$15,049.26","48 Players","4 Tournaments",2021
101,"The Binding of Isaac","$15,000.00","16 Players","1 Tournament",2021
102,"Old School Runescape","$13,000.00","14 Players","2 Tournaments",2021
103,"Dragon Ball FighterZ","$11,548.32","48 Players","31 Tournaments",2021
104,"Onward","$10,720.00","22 Players","1 Tournament",2021
105,"UNO","$10,000.00","12 Players","1 Tournament",2021
106,"Zombieland VR: Headshot Fever","$10,000.00","4 Players","1 Tournament",2021
107,"Echo Arena","$9,440.00","67 Players","6 Tournaments",2021
108,"Xonotic","$8,945.36","28 Players","18 Tournaments",2021
109,"Quake III Arena","$8,742.45","36 Players","7 Tournaments",2021
110,"Age of Mythology","$8,592.61","50 Players","46 Tournaments",2021
111,"Auto Chess","$8,400.00","14 Players","30 Tournaments",2021
112,"Ultimate Marvel vs. Capcom 3","$7,876.36","17 Players","5 Tournaments",2021
113,"Guilty Gear XX Accent Core Plus R","$5,985.23","14 Players","5 Tournaments",2021
114,"Beat Saber","$5,758.18","25 Players","5 Tournaments",2021
115,"Paladins","$5,500.00","19 Players","2 Tournaments",2021
116,"Mortal Kombat XL","$5,000.00","8 Players","1 Tournament",2021
117,"Rezzil Player","$5,000.00","5 Players","1 Tournament",2021
118,"Them's Fightin' Herds","$3,998.19","18 Players","25 Tournaments",2021
119,"Nascar Heat 5","$3,625.00","10 Players","1 Tournament",2021
120,"Under Night In-Birth EXE: Late[cl-r]","$3,513.13","20 Players","3 Tournaments",2021
121,"Rushdown Revolt","$3,310.09","26 Players","14 Tournaments",2021
122,"Mythgard","$3,000.00","9 Players","3 Tournaments",2021
123,"Power Rangers: Battle for the Grid","$2,920.60","14 Players","4 Tournaments",2021
124,"Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe","$2,681.91","9 Players","2 Tournaments",2021
125,"Blaston","$2,428.12","12 Players","6 Tournaments",2021
126,"Tetr.io","$2,295.27","11 Players","2 Tournaments",2021
127,"Melty Blood: Type Lumina","$2,004.59","8 Players","1 Tournament",2021
128,"Walkabout Mini Golf","$2,000.00","7 Players","2 Tournaments",2021
129,"Fantasy Strike","$1,939.80","9 Players","2 Tournaments",2021
130,"Tetris Effect: Connected","$1,934.91","12 Players","3 Tournaments",2021
131,"Virtua Fighter 5: Ultimate Showdown","$1,870.00","9 Players","2 Tournaments",2021
132,"Mario Kart 8 Deluxe","$1,700.00","20 Players","2 Tournaments",2021
133,"Age of Empires Online","$1,605.00","11 Players","5 Tournaments",2021
134,"Melty Blood: Actress Again Current Code","$1,250.00","8 Players","1 Tournament",2021
135,"Super Smash Bros. for Wii U","$1,190.00","8 Players","1 Tournament",2021
136,"Quake Live","$1,185.08","8 Players","2 Tournaments",2021
137,"ARMS","$1,181.50","18 Players","8 Tournaments",2021
138,"Street Fighter Alpha 2","$1,114.69","8 Players","1 Tournament",2021
139,"Ninja Legends","$1,000.00","6 Players","1 Tournament",2021
140,"Synth Riders","$1,000.00","8 Players","2 Tournaments",2021
141,"Puyo Puyo Tetris 2","$896.02","10 Players","2 Tournaments",2021
142,"BlazBlue: Central Fiction","$807.65","7 Players","2 Tournaments",2021
143,"Cave Digger 2","$750.00","4 Players","1 Tournament",2021
144,"Crab Game","$750.00","15 Players","9 Tournaments",2021
145,"Super Smash Bros.","$750.00","13 Players","3 Tournaments",2021
146,"Street Fighter III: 3rd Strike","$717.22","8 Players","3 Tournaments",2021
147,"Windjammers","$699.31","5 Players","3 Tournaments",2021
148,"Dengeki Bunko: Fighting Climax Ignition","$650.00","8 Players","1 Tournament",2021
149,"Super Smash Bros. Brawl","$570.00","8 Players","1 Tournament",2021
150,"DOOMBRINGER","$567.77","8 Players","4 Tournaments",2021
151,"Lemnis Gate","$564.70","5 Players","4 Tournaments",2021
152,"Tatsunoko vs. Capcom: Ultimate All-Stars","$526.29","3 Players","1 Tournament",2021
153,"Killer Instinct (2013)","$520.00","8 Players","3 Tournaments",2021
154,"Duck Game","$500.00","3 Players","1 Tournament",2021
155,"Gym Masters VR","$500.00","4 Players","1 Tournament",2021
156,"Jak and Daxter: The Precursur Legacy","$500.00","4 Players","1 Tournament",2021
157,"Pokemon Unite","$500.00","20 Players","1 Tournament",2021
158,"Snapshot VR","$500.00","10 Players","1 Tournament",2021
159,"Temtem","$500.00","4 Players","1 Tournament",2021
160,"Void Racer","$460.00","4 Players","1 Tournament",2021
161,"Doom II: Hell on Earth","$428.56","4 Players","2 Tournaments",2021
162,"Mobile Suit Gundam: Extreme Vs Maxi Boost ON","$420.00","12 Players","2 Tournaments",2021
163,"Artifact Foundry","$400.00","2 Players","4 Tournaments",2021
164,"Audio Trip","$400.00","3 Players","1 Tournament",2021
165,"Rivals of Aether","$400.00","7 Players","3 Tournaments",2021
166,"Quake 4","$360.76","3 Players","2 Tournaments",2021
167,"Dead or Alive 6","$310.00","6 Players","2 Tournaments",2021
168,"Lethal League Blaze","$300.00","3 Players","1 Tournament",2021
169,"Slap City","$300.00","3 Players","1 Tournament",2021
170,"QuakeWorld","$299.97","4 Players","2 Tournaments",2021
171,"Reflex","$299.97","3 Players","2 Tournaments",2021
172,"Slapshot Rebound","$288.27","13 Players","2 Tournaments",2021
173,"F1 2020","$288.00","3 Players","1 Tournament",2021
174,"Samurai Shodown (2019)","$260.00","3 Players","1 Tournament",2021
175,"Super Street Fighter II Turbo","$250.00","3 Players","1 Tournament",2021
176,"Ultra Street Fighter IV","$250.00","3 Players","1 Tournament",2021
177,"Quake II","$246.48","3 Players","2 Tournaments",2021
178,"Artifact Classic","$220.00","5 Players","4 Tournaments",2021
179,"Guilty Gear Xrd REV 2","$218.36","5 Players","2 Tournaments",2021
180,"BlazBlue: Cross Tag Battle","$210.00","3 Players","1 Tournament",2021
181,"Pokkén Tournament","$200.00","3 Players","1 Tournament",2021
182,"Project Plus","$175.00","3 Players","1 Tournament",2021
183,"Digimon Rumble Arena","$130.00","3 Players","1 Tournament",2021
184,"Maiden & Spell","$125.00","3 Players","1 Tournament",2021
185,"Pocket Rumble","$125.00","4 Players","1 Tournament",2021
186,"Acceleration of SUGURI 2","$100.00","3 Players","1 Tournament",2021
187,"Chex Quest","$100.00","2 Players","1 Tournament",2021
188,"Koihime Enbu","$100.00","3 Players","1 Tournament",2021
189,"Mighty Fight Federation","$100.00","3 Players","1 Tournament",2021
